_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.8,GO:0060173,limb development,M1,1,0
1,-2.5,GO:0090575,RNA polymerase II transcription regulator complex,M1,1,0
1,-3.1,GO:0032438,melanosome organization,M1,1,0
1,-2,hsa04935,"Growth hormone synthesis, secretion and action",M1,1,0
1,-2.8,GO:0055080,monoatomic cation homeostasis,M1,1,0
1,-6.4,R-HSA-1852241,Organelle biogenesis and maintenance,M1,1,0
1,-4.6,hsa05017,Spinocerebellar ataxia,M1,1,0
1,-3.4,GO:0016050,vesicle organization,M1,1,0
1,-3.9,GO:1990246,uniplex complex,M1,1,0
1,-3.5,GO:1902600,proton transmembrane transport,M1,1,0
1,-4.5,GO:0006895,Golgi to endosome transport,M1,1,0
1,-6.7,GO:0000139,Golgi membrane,M1,1,0
1,-2.6,GO:0072330,monocarboxylic acid biosynthetic process,M1,1,0
1,-4.2,CORUM:6174,Intraflagellar transport complex B peripheral subcomplex,M1,1,0
1,-3.6,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",M1,1,0
1,-2.5,GO:0010038,response to metal ion,M1,1,0
1,-3.3,GO:0006487,protein N-linked glycosylation,M1,1,0
1,-3.1,GO:0007272,ensheathment of neurons,M1,1,0
1,-2.7,GO:0019218,regulation of steroid metabolic process,M1,1,0
1,-12,GO:0009267,cellular response to starvation,M1,1,0
1,-2.4,GO:0051403,stress-activated MAPK cascade,M1,1,0
1,-2.1,GO:0035023,regulation of Rho protein signal transduction,M1,1,0
1,-2.8,GO:0019646,aerobic electron transport chain,M1,1,0
1,-2,WP3612,Photodynamic therapy induced NFE2L2 NRF2 survival signaling,M1,1,0
1,-2.6,GO:0042149,cellular response to glucose starvation,M1,1,0
1,-4.6,WP2533,Glycerophospholipid biosynthetic pathway,M1,1,0
1,-2.5,WP4705,Pathways of nucleic acid metabolism and innate immune sensing,M1,1,0
1,-2.9,GO:0045786,negative regulation of cell cycle,M1,1,0
1,-2.6,GO:0046463,acylglycerol biosynthetic process,M1,1,0
1,-2.9,GO:0000075,cell cycle checkpoint signaling,M1,1,0
1,-3.5,GO:0006505,GPI anchor metabolic process,M1,1,0
1,-2.8,GO:0032868,response to insulin,M1,1,0
1,-2.7,GO:0046949,fatty-acyl-CoA biosynthetic process,M1,1,0
1,-2.5,WP4396,Nonalcoholic fatty liver disease,M1,1,0
1,-3.8,GO:0034204,lipid translocation,M1,1,0
1,-3.4,GO:0045071,negative regulation of viral genome replication,M1,1,0
1,-2.5,WP4928,MAPK pathway in congenital thyroid cancer,M1,1,0
1,-2.5,GO:0044774,mitotic DNA integrity checkpoint signaling,M1,1,0
1,-3.6,GO:0051225,spindle assembly,M1,1,0
1,-2.2,GO:1905039,carboxylic acid transmembrane transport,M1,1,0
1,-2.1,GO:0099643,signal release from synapse,M1,1,0
1,-3.1,GO:0008366,axon ensheathment,M1,1,0
1,-4.5,R-HSA-8932506,DAG1 core M1 glycosylations,M1,1,0
1,-4.2,GO:1903725,regulation of phospholipid metabolic process,M1,1,0
1,-2,R-HSA-6799198,Complex I biogenesis,M1,1,0
1,-5.1,R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,M1,1,0
1,-3.3,GO:0000956,nuclear-transcribed mRNA catabolic process,M1,1,0
1,-4.3,GO:0006399,tRNA metabolic process,M1,1,0
1,-2.8,GO:0031570,DNA integrity checkpoint signaling,M1,1,0
1,-2,GO:0061013,regulation of mRNA catabolic process,M1,1,0
1,-6.8,GO:0005802,trans-Golgi network,M1,1,0
1,-2.1,R-HSA-450321,JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,M1,1,0
