"Gene","Acute Veh","Acute 100uM","Acute 200uM","Recvr Veh","Recvr 100uM","Recvr 200uM"
"SCCPDH",0.136,0.0705,0.775,-0.0576,-0.14,-0.381
"SCD",-1.13,0.235,-0.366,0.432,0.42,0.177
"SCD5",-3.67,-0.26,0.568,0.653,0.879,0.333
"SCFD1",-0.902,-0.0142,0.00261,0.221,0.147,0.0746
"SCMH1",-4.64,-0.495,0.257,0.979,0.932,0.731
"SCNM1",0.997,-0.487,-0.675,0.175,0.311,0.964
"SCO1",1.25,-0.269,0.517,0.287,-0.197,-0.0417
"SCP2",0.679,-0.424,0.637,0.105,0.0167,0.268
"SCRN2",1.87,-0.424,-0.232,0.0272,0.189,-0.151
"SCYL2",-0.924,0.0844,-0.513,0.093,0.166,0.234
"SDC2",2.06,0.281,0.972,-0.117,0.0897,-0.389
"SDCCAG8",1.49,-0.885,-0.284,0.515,0.21,0.374
"SDE2",0.574,-0.634,-0.788,0.503,0.371,0.522
"SDF2",1.31,-0.283,0.948,-0.213,-0.447,-0.0136
"SDF2L1",1.75,-0.425,0.745,0.0578,-0.337,-0.0986
"SDHA",1.11,-0.359,0.874,0.102,-0.116,-0.535
"SDHAF3",0.525,-0.722,-0.142,0.734,0.398,0.434
"SDHAF4",-1.7,-3,-2.82,2.19,0.779,2.43
"SDHB",1.4,-0.482,0.764,0.33,-0.297,-0.149
"SDR39U1",-0.865,0.0134,0.186,0.142,0.198,-0.105
"SEC11A",-0.762,-0.0676,0.0529,0.286,0.324,0.299
"SEC23B",-0.783,0.262,-0.208,0.249,0.195,0.162
"SEC24B",-1.05,-0.0863,0.00977,0.119,0.195,0.118
"SEC24C",-0.937,0.281,-0.455,0.000852,0.117,0.0129
"SEC61A1",-1.36,0.209,0.224,0.519,0.432,0.0177
"SEC61A2",0.674,1.47,3.25,-0.918,-0.881,0.289
"SEC61G",1.69,-0.0688,0.14,0.203,0.191,0.11
"SEC62",0.941,0.0817,0.938,-0.247,-0.37,-0.194
"SECISBP2",-0.574,-0.621,-0.296,0.525,0.511,0.937
"SECISBP2L",-0.659,-0.248,-0.621,0.588,0.553,0.702
"SELENBP1",1.71,-0.978,-0.0216,0.0296,-0.197,-0.17
"SELENOH",0.335,-1.44,-0.664,0.61,0.44,0.6
"SELENOK",0.916,-0.307,1.11,-0.15,-0.319,0.114
"SELENOM",0.167,-1.54,-0.101,0.962,0.44,0.647
"SELENOO",1.7,-0.205,-0.385,0.115,0.0422,-0.118
"SELENOP",5.06,3.33,3.83,-2.09,-1.19,-1.88
"SELENOS",1.55,-0.13,0.0593,-0.588,-0.345,0.0926
"SEMA4B",1.19,0.934,2.17,-0.434,-0.24,-0.39
"SEMA4D",1.51,0.404,1.21,-0.374,-0.575,-0.324
"SENP1",-0.834,-0.506,0.0593,0.314,0.41,0.359
"SENP2",-1.14,-1.2,-0.897,1.23,0.822,0.84
"SENP3",-1.38,-0.649,0.088,0.379,0.391,0.221
"SENP5",0.57,-0.551,-0.138,-0.109,-0.173,-0.0647
"SENP7",0.915,-0.8,0.0177,0.16,0.131,0.16
"SENP8",0.709,-0.484,-0.523,0.378,0.0344,0.243
"SEPSECS",-1.83,-0.697,0.185,0.535,0.36,0.615
"SEPTIN10",0.834,0.127,-0.0127,-0.207,-0.216,0.228
"SEPTIN11",2.06,-0.137,0.216,-0.383,-0.304,-0.194
"SEPTIN2",1.94,-0.183,0.247,-0.29,-0.226,-0.162
"SEPTIN6",1.9,-0.313,0.319,-0.296,-0.303,-0.224
"SEPTIN7",1.34,-0.0254,0.135,-0.253,-0.208,-0.0188
"SEPTIN8",1.12,-0.0686,-0.0212,-0.223,-0.113,0.0721
"SERBP1",1.13,-0.331,-0.304,-0.112,0.103,0.358
"SERF2",1.57,-1.04,-0.402,0.18,0.149,0.796
"SERGEF",0.605,-0.713,0.0212,-0.0242,-0.185,0.0234
"SERPINA7",2.7,0.537,1.25,-1.99,-1.7,-1.18
"SERPINB6",-1,-0.272,-0.98,0.275,0.327,0.393
"SERPINB7",1.9,-0.22,-0.0553,-0.417,-0.151,-0.37
"SERPINE2",1.52,-0.485,0.588,-0.12,-0.738,-0.0306
"SERPINF1",3.85,1.69,2.47,-1.71,-2.07,-1.38
"SESN2",-0.872,0.777,-0.137,-0.391,-0.154,0.168
"SET",2.14,0.242,0.377,-0.772,-0.328,-0.229
"SETD2",0.082,-0.753,-0.668,0.441,0.312,0.336
"SETD7",1.61,0.292,0.382,-0.389,-0.303,-0.276
"SETX",-0.872,-0.277,-2.38,1.39,1.34,1.32
"SEZ6L2",1.95,0.79,1.75,-0.448,-0.658,-0.491
"SF1",1.21,-0.502,-0.239,0.376,-0.0999,0.389
"SF3A1",0.659,-0.56,-0.224,0.36,0.1,0.251
"SF3A2",0.895,-0.255,0.219,0.106,-0.117,-0.0579
"SFMBT2",-4.71,-0.341,1.8,0.518,0.266,0.478
"SFR1",1.3,-0.34,-0.412,0.0811,-0.152,0.296
"SFSWAP",0.397,-0.961,-0.189,0.312,0.25,0.392
"SFT2D3",0.351,1.16,0.445,-0.174,-0.0413,-0.57
"SGCE",-1.56,2.27,3.44,-1,-0.403,-0.624
"SGF29",1.08,-0.306,0.0529,0.0259,-0.203,0.177
"SGO1",0.506,-0.892,-0.212,0.178,0.0969,0.362
"SGO2",-0.703,-0.741,-0.429,0.377,0.422,0.641
"SGPL1",-1.49,0.0386,0.104,0.253,0.206,-0.0179
"SGSH",0.732,-1.13,0.294,0.353,0.114,0.0285
"SH3BGRL",0.652,-0.482,-0.562,0.277,0.186,0.271
"SH3BGRL2",0.78,-0.076,0.511,-0.316,-0.207,-0.012
"SH3BGRL3",1.26,0.307,0.0907,-0.294,-0.339,-0.297
"SH3BP5",1.03,-0.454,-0.287,0.147,-0.0141,0.494
"SH3BP5L",1.39,-0.468,-0.64,0.273,0.0118,0.611
"SH3D19",-0.0341,-0.644,-1.13,1,0.741,0.833
"SH3GL1",0.937,-0.318,-0.315,0.294,0.0691,0.442
"SH3GL2",1.16,-0.337,-0.419,0.254,-0.121,0.605
"SH3KBP1",0.29,-0.534,-0.709,0.375,0.363,0.773
"SH3PXD2A",-0.125,-0.343,-0.511,0.534,0.367,0.557
"SHISA2",1.23,0.94,1.64,-0.87,-0.521,-0.652
"SHKBP1",-2.56,-0.311,0.00812,0.717,0.624,0.856
"SHMT1",2.56,0.128,0.611,-0.415,-0.607,-0.604
"SHMT2",1.68,-0.382,1.12,-0.0826,-0.16,-0.516
"SHPK",-0.925,0.361,-0.515,-0.0416,0.12,0.116
"SHPRH",0.446,-0.96,-0.332,0.279,0.247,-0.149
"SHROOM1",0.473,-0.482,-0.615,0.307,0.151,0.86
"SHTN1",1.29,-0.321,-0.276,-0.0291,-0.302,0.25
"SIAE",1.02,-0.907,0.0321,0.388,0.0909,0.322
"SIDT2",0.432,0.339,1.7,0.0633,-0.308,-1.17
"SIGMAR1",-0.675,-0.0507,0.471,0.217,0.22,0.0622
"SIMC1",-0.759,-0.751,-0.564,0.724,0.54,0.653
"SIN3A",-0.834,-0.632,-0.406,0.465,0.357,0.217
"SINHCAF",1.06,-0.446,0.0912,0.151,-0.131,0.0413
"SIPA1L1",-0.332,-0.377,-0.38,0.707,0.256,0.376
"SIRPA",1.27,-0.777,0.595,0.487,-0.361,-0.182
"SIRT6",1.89,-0.386,0.415,-0.17,-0.317,-0.0829
"SIX1",0.532,-0.632,0.0614,0.36,0.11,-0.015
"SKA1",0.545,-0.0609,-0.406,0.0654,-0.036,0.626
"SKA2",0.794,-0.323,-0.0323,0.178,-0.0936,0.487
"SKA3",0.875,-0.215,-0.0766,0.184,-0.0423,0.537
"SKI",-0.248,-0.787,-0.533,0.41,0.503,0.18
"SKIC2",-0.923,0.0808,0.0067,0.124,0.211,0.139
"SKP1",1.42,0.00668,0.297,0.13,-0.0151,0.245
"SKP2",-2.59,-0.076,0.772,0.212,0.258,0.368
"SLAIN1",-0.222,-0.245,-0.631,0.221,0.283,0.761
"SLAIN2",0.603,-0.754,-0.899,0.335,0.185,0.833
"SLBP",1.49,-0.744,-0.589,0.472,0.122,0.458
"SLC12A2",-0.999,0.167,-0.0422,0.29,0.265,0.118
"SLC16A1",-1.04,0.254,-0.258,0.149,0.265,-0.112
"SLC16A2",0.262,0.589,0.575,-0.639,-0.427,-0.34
"SLC19A1",-1.84,2.84,3.91,-0.974,-1.71,-1.2
"SLC19A2",3.48,-0.364,1.56,-1.07,-1.23,-1
"SLC20A1",0.39,1.35,1.42,-0.634,-0.702,-0.504
"SLC23A2",-3.77,0.672,1.08,0.31,0.195,0.389
"SLC25A1",-1.33,0.0667,0.583,0.428,0.0281,-0.123
"SLC25A10",-0.921,-0.0754,0.488,0.265,0.168,-0.336
"SLC25A11",-1.24,-0.194,0.272,0.444,0.273,-0.0554
"SLC25A12",-1.23,-0.143,0.417,0.494,0.15,-0.0397
"SLC25A13",-0.621,-0.148,0.397,0.316,0.0161,-0.104
"SLC25A14",-2.83,0.398,0.921,-0.0757,0.379,0.0786
"SLC25A15",-3.33,0.308,0.586,0.688,0.619,0.224
"SLC25A17",-0.661,-0.289,0.488,0.323,0.22,-0.0996
"SLC25A19",-3.38,0.17,1.09,0.873,0.529,-0.027
"SLC25A21",-2.94,0.0916,0.832,0.368,0.365,-0.143
"SLC25A24",-0.903,-0.299,0.00214,0.325,0.197,-0.0169
"SLC25A3",-1.18,0.13,0.603,0.338,0.101,-0.121
"SLC25A32",-0.943,0.662,0.972,-0.059,0.237,-0.0973
"SLC25A4",-0.947,0.0775,0.608,0.428,0.143,-0.116
"SLC25A5",-0.769,0.254,0.892,0.284,0.0481,-0.309
"SLC25A6",-1.27,-0.265,0.528,0.475,0.217,-0.0474
"SLC27A3",-3.64,-0.725,1.27,0.682,0.873,0.381
"SLC29A1",-0.578,0.473,0.0523,0.34,0.161,-0.315
"SLC2A1",-0.431,0.786,0.364,0.164,0.118,-0.388
"SLC2A13",-0.937,0.223,0.69,0.00331,0.132,-1
"SLC30A5",-2.35,-0.189,0.33,0.599,0.469,0.104
"SLC30A7",-4.41,0.547,0.939,0.572,0.696,0.0375
"SLC31A1",-0.122,3.29,3.82,-1.81,-0.931,-1.5
"SLC35B2",-0.0826,0.831,0.582,-0.301,0.221,-0.603
"SLC35E1",-1.99,0.648,0.772,0.525,0.356,0.117
"SLC35F2",-0.425,1.65,3.47,-0.804,-0.255,-0.627
"SLC37A3",-1.8,0.0751,0.376,0.377,0.331,0.017
"SLC37A4",-2.67,-0.545,-0.128,0.722,0.681,0.493
"SLC38A10",-0.346,1.55,3.15,-0.0687,-0.773,0.378
"SLC38A2",-0.00591,0.899,0.491,-0.514,-0.373,-0.533
"SLC38A9",-1.87,0.117,0.167,0.438,0.172,0.232
"SLC39A1",-0.522,0.604,3.03,-0.506,-0.328,-0.402
"SLC39A11",-1.82,-0.196,0.432,0.231,0.409,-0.0969
"SLC39A14",-0.754,0.141,0.325,0.147,0.21,-0.157
"SLC39A6",-0.921,-0.742,-0.544,1.09,0.563,0.538
"SLC44A1",0.651,0.131,0.678,-0.136,-0.00762,-0.436
"SLC4A7",-0.836,-0.0663,0.388,0.362,0.179,0.0394
"SLC6A15",-4.66,-0.92,0.51,1.1,1.1,0.45
"SLC6A9",-2.87,0.117,0.182,0.828,0.576,0.43
"SLC7A11",-1.25,0.162,0.575,0.236,0.0305,-0.0206
"SLC7A2",2.71,1.24,2.76,-2.07,-2.8,-1.29
"SLC7A5",-0.872,0.812,0.0188,-0.0428,0.0864,0.179
"SLC7A6",-2.88,-0.155,0.549,0.62,0.554,0.306
"SLC7A6OS",1.34,0.334,0.109,-0.098,-0.169,-0.354
"SLC7A8",-0.598,5.43,5.51,-2.23,-0.51,-0.792
"SLC9A6",-2.93,0.0959,0.563,0.285,0.279,0.252
"SLF1",-1.4,-0.614,-0.21,0.3,0.318,0.229
"SLF2",-0.0608,-0.91,-0.477,0.499,0.484,0.46
"SLMAP",0.795,-0.597,-0.117,0.108,0.0918,0.235
"SLTM",-0.204,-0.886,-0.281,0.494,0.117,0.544
"SLX4IP",-0.296,-0.671,-0.487,0.543,0.418,0.444
"SMAD1",1.09,0.371,0.602,-0.274,-0.492,-0.0588
"SMAD9",0.996,-1.02,-0.483,0.541,-0.0256,0.499
"SMAP",0.632,-0.686,-0.504,0.511,0.511,0.919
"SMARCA1",-0.467,-0.872,0.00417,0.255,0.288,0.0568
"SMARCA5",-0.413,-0.789,0.214,0.237,0.281,0.0773
"SMARCAL1",-0.598,-0.499,-0.0385,0.475,0.319,0.543
"SMARCE1",0.646,-0.907,-0.187,0.658,0.163,0.4
"SMC5",0.372,-0.657,-0.239,0.132,0.154,-0.0272
"SMC6",-0.712,-0.538,-0.32,0.317,0.33,0.0621
"SMIM1",0.542,-0.16,0.45,-0.468,-0.0739,0.309
"SMIM15",1.52,-0.482,0.231,0.132,-0.135,0.157
"SMN2",1.7,-0.0651,0.128,-0.155,-0.375,-0.0303
"SMNDC1",1.51,-0.736,-0.227,0.0606,-0.144,0.295
"SMPD1",0.813,0.338,1.11,-0.178,-0.386,-0.193
"SMPDL3A",1.24,-0.6,0.464,0.0571,-0.183,-0.255
"SMPDL3B",2.1,-0.122,1.11,-0.159,-0.404,-0.501
"SMTN",0.263,-0.673,-0.39,0.341,0.214,0.616
"SMU1",-1.3,-0.784,-0.444,0.639,0.623,0.273
"SNAP23",1.22,0.178,0.882,-0.123,-0.388,-0.255
"SNAP29",1.22,0.115,0.106,-0.0249,-0.264,0.264
"SNAPC1",1.58,-0.134,0.303,-0.224,-0.383,0.0144
"SNAPC2",0.685,-1.1,-0.319,0.199,-0.0371,0.647
"SNAPIN",1.75,-0.373,-0.224,0.489,0.184,0.681
"SNCA",1.63,0.144,0.227,-0.617,-0.612,-0.287
"SNIP1",0.249,-0.81,-0.154,0.193,0.134,0.221
"SNRNP200",-1.02,-0.633,-0.417,0.561,0.61,0.186
"SNRNP27",0.69,-1.05,-0.519,0.409,0.324,0.713
"SNRNP35",0.555,-0.447,0.755,0.102,-0.125,-0.155
"SNRNP48",0.985,-0.679,-0.341,0.0728,0.0343,0.2
"SNRNP70",0.897,-1.02,-0.00888,0.19,0.0733,0.436
"SNRPA",1.48,-0.563,0.159,-0.103,-0.3,-9.76e-05
"SNRPA1",1.66,-0.581,0.157,0.0814,-0.256,0.0783
"SNRPB",1.9,-0.677,0.105,0.183,-0.129,-0.318
"SNRPB2",1.61,-0.682,0.0926,0.0143,-0.252,0.0776
"SNRPC",1.71,-0.719,-0.409,0.602,0.299,0.0727
"SNRPD1",1.46,-1.12,-0.238,0.141,0.127,0.0895
"SNRPD2",1.41,-0.852,0.0487,0.216,0.0536,0.416
"SNRPD3",1,-0.65,0.0353,0.335,0.0958,0.248
"SNRPE",1.8,-0.361,0.605,-0.143,-0.218,0.11
"SNRPF",1.54,-0.775,0.354,0.333,-0.405,-0.581
"SNU13",0.705,-0.669,0.271,0.258,-0.0266,0.214
"SNW1",0.49,-0.992,-0.582,0.58,0.382,0.64
"SNX15",0.0685,-0.137,-0.703,0.278,0.206,0.674
"SNX21",-0.724,0.296,1.08,-0.357,-0.168,-0.292
"SNX33",-4.04,0.331,0.22,1.02,0.448,0.505
"SOAT1",-1.1,-0.0764,-0.00956,0.418,0.348,0.0129
"SOBP",-2,-0.49,0.104,0.835,0.993,1.37
"SOD2",1.07,-0.359,0.567,0.286,-0.0651,0.0414
"SON",0.239,-0.842,-0.242,0.314,0.36,0.321
"SORBS1",0.278,-0.811,-0.953,0.382,0.282,0.735
"SORBS3",-0.0728,-0.463,-0.612,0.199,0.251,0.417
"SORD",1.54,0.156,0.196,-0.039,-0.197,-0.428
"SORT1",0.763,0.143,1.18,-0.0263,-0.238,-0.262
"SOWAHC",-0.527,-2.79,0.0166,0.445,0.655,1.01
"SOX12",0.11,-0.849,-1.02,0.6,0.237,0.883
"SOX13",0.141,-0.372,-0.809,-0.13,0.104,0.582
"SOX2",1.32,-0.301,0.492,-0.504,-0.207,-0.0538
"SOX4",-3.41,-0.41,0.00347,0.761,0.454,0.81
"SOX9",0.89,-0.896,-0.404,0.432,0.237,0.75
"SP1",1.13,-0.174,0.504,-0.45,-0.398,-0.426
"SP2",0.0581,-0.895,-0.173,0.17,0.179,0.512
"SP3",0.956,-0.196,0.48,-0.51,-0.545,-0.377
"SP4",1.44,0.185,1.13,-0.431,-0.873,-1.7
"SPAG1",0.987,0.11,-0.303,-0.0521,-0.192,0.209
"SPAG7",0.881,-0.907,-0.745,0.537,0.39,0.844
"SPAST",-0.391,-0.439,-0.33,0.358,0.296,0.71
"SPATA2",-2.54,-0.394,1.26,0.643,0.301,0.547
"SPATA33",0.706,-0.888,-0.717,0.781,0.472,0.84
"SPATS2",-0.242,-0.515,-0.461,0.305,0.184,0.635
"SPC25",1.07,-0.145,0.149,-0.217,-0.127,0.155
"SPCS1",0.575,1.13,0.918,-0.534,0.0144,-0.398
"SPCS3",-0.734,0.275,0.564,0.0859,0.107,0.0853
"SPDL1",0.902,-0.431,-0.386,0.0979,-0.0886,0.407
"SPECC1",1.03,-0.16,-0.0496,0.119,-0.0335,0.243
"SPECC1L",0.138,-0.255,-0.571,0.0912,0.19,0.727
"SPEN",-0.00393,-0.763,-0.229,0.303,0.24,0.324
"SPINDOC",0.812,-0.475,0.00954,0.141,0.158,0.119
"SPNS1",-0.29,0.511,0.745,-0.0626,-0.16,-0.199
"SPOP",3.19,0.919,2.79,-0.89,-1.13,-1.72
"SPPL2A",0.808,0.422,1.17,-0.267,-0.387,-0.0897
"SPPL2B",0.46,0.956,1.13,-0.406,-0.564,-0.505
"SPRTN",-0.0818,-0.878,-0.693,0.494,0.307,0.769
"SPTAN1",0.953,-0.325,0.00437,0.318,-0.0975,0.176
"SPTLC1",-0.778,0.268,0.196,0.129,0.0735,0.0444
"SPTLC2",-1.06,-0.0149,-0.0212,0.201,0.267,-0.0444
"SPTY2D1",0.125,-1.06,-0.425,0.373,0.375,0.651
"SQSTM1",0.96,1,0.701,-0.0748,-0.428,-0.311
"SRA1",1.41,-0.188,-0.124,0.269,-0.0768,0.585
"SRBD1",-0.621,-0.791,0.0106,0.342,0.358,0.104
"SREK1",0.141,-0.779,-0.223,0.249,0.28,0.36
"SREK1IP1",2.19,-0.37,0.458,-0.657,-0.988,-0.75
"SRF",0.903,-0.228,0.296,-0.239,-0.421,0.241
"SRGAP2",0.357,-0.291,-0.578,0.261,0.0872,0.428
"SRI",1.5,-0.0226,0.587,0.451,-0.0715,0.421
"SRM",0.893,0.457,0.0702,-0.187,-0.146,-0.0662
"SRP14",1.33,-0.63,0.282,-0.0197,-0.0725,0.243
"SRP19",1.65,-0.999,-0.223,0.302,0.138,0.352
"SRP9",1.37,-0.427,0.0946,0.0855,-0.0219,0.347
"SRRM1",0.867,-0.786,0.0894,0.231,0.121,0.104
"SRRM2",0.414,-1.51,-0.542,0.636,0.52,0.618
"SRSF1",1.18,-0.97,0.206,0.31,-0.0439,0.155
"SRSF10",-0.107,-0.837,0.0297,0.35,0.339,0.496
"SRSF11",0.773,-0.815,-0.489,0.224,0.112,0.285
"SRSF12",0.029,-1.05,-0.327,0.609,0.429,0.505
"SRSF2",1.12,-0.651,0.113,0.243,0.0993,0.307
"SRSF3",0.864,-1.9,-0.0136,1.13,0.36,0.218
"SRSF4",0.736,-0.806,0.244,0.23,0.00287,0.0144
"SRSF5",0.613,-0.96,-0.231,0.581,0.209,0.365
"SRSF6",1.01,-0.341,0.508,-0.0333,-0.0829,-0.297
"SRSF7",1.11,-1.13,0.169,0.559,0.0447,0.0735
"SRSF8",0.136,-0.998,0.0311,0.704,0.0597,0.231
"SS18L1",1.4,-3.55,0.799,0.35,0.0754,1.28
"SSB",0.881,-0.0354,-0.0621,-0.202,-0.269,-0.0746
"SSBP1",1.92,-0.401,1.18,-0.188,-0.38,-0.187
"SSBP4",-0.41,-0.835,-1.06,0.433,0.453,0.719
"SSH2",-0.474,-2.24,-1.05,0.666,0.538,0.604
"SSH3",-2.5,-0.0568,1.47,0.329,0.184,0.0414
"SSNA1",1.77,-0.664,-0.416,0.715,0.254,1.15
"SSR1",1,-0.59,0.778,-0.214,-0.167,-0.113
"SSR3",-0.937,-0.225,0.0529,0.307,0.376,-0.000854
"STAG1",-0.707,-0.677,-0.0208,0.325,0.263,0.00214
"STAMBP",1.08,-0.00996,0.302,-0.189,-0.404,-0.266
"STARD5",2.93,0.0514,0.698,-0.391,-0.519,-0.356
"STAT3",-0.799,0.266,0.0072,-0.108,0.0341,0.0403
"STAT6",-1.32,-0.472,0.382,-0.00984,-0.0769,0.0348
"STAU1",1.03,-0.114,0.145,-0.164,-0.329,-0.125
"STBD1",0.663,-0.0754,-0.37,-0.132,0.0959,0.0725
"STC2",1.6,0.629,0.54,-0.638,-0.909,-1.03
"STEAP3",0.794,0.524,0.546,-0.571,-0.158,-0.369
"STEEP1",1.05,-0.748,-0.378,0.361,0.325,0.542
"STIM2",-0.617,-1.08,-1.23,1.17,0.839,0.918
"STIP1",1.6,-0.417,-0.0889,0.385,-0.067,0.271
"STK10",0.969,0.343,0.626,-0.519,-0.47,-0.134
"STK11IP",-1.04,-0.0379,-0.154,0.3,0.356,0.229
"STK19",-2.98,-0.352,0.272,0.56,0.618,0.406
"STK35",-1.84,-0.439,1.21,0.015,0.227,0.162
"STMN1",0.537,-0.828,-1,0.954,0.421,1.02
"STMN2",0.497,-0.533,-0.859,0.707,0.341,0.752
"STOM",-0.238,0.498,0.841,-0.429,-0.399,-0.322
"STOML2",-0.695,-0.00778,0.458,0.0571,-0.0313,-0.0118
"STT3A",-1.14,-0.145,0.341,0.335,0.247,-0.0189
"STT3B",-0.748,0.112,0.297,0.156,0.233,0.101
"STX10",1.26,0.209,0.611,-0.354,-0.323,-0.294
"STX12",1.08,-0.257,0.5,-0.0437,-0.247,0.254
"STX3",1.8,0.368,1.03,-0.503,-0.82,-0.245
"STX6",1.18,0.519,0.923,-0.672,-0.526,-0.331
"STX7",1.23,-0.504,0.384,0.14,-0.22,0.137
"STX8",1.04,-0.421,0.374,0.0201,-0.217,0.144
"SUB1",1.39,-0.478,0.611,-0.245,-0.227,0.449
"SUCO",-0.315,-0.34,-0.591,0.305,0.289,0.539
"SUGP1",0.469,-0.629,-0.513,0.386,0.204,0.591
"SULF2",1.43,0.738,1.14,-0.264,-0.309,-0.616
"SUMF1",1.39,-0.549,0.826,-0.273,-0.299,0.0176
"SUMF2",1.69,-0.359,0.748,0.133,-0.155,0.247
"SUMO2",1.32,-0.0117,0.606,-0.0255,-0.471,-0.242
"SUMO3",0.991,-0.102,0.406,-0.121,-0.3,-0.277
"SUN2",-0.852,-0.295,-0.386,0.532,0.385,0.429
"SUOX",1.91,0.321,0.721,-0.489,-0.334,-0.471
"SUPT7L",0.584,-0.444,0.0507,0.137,0.214,0.154
"SURF6",1.87,-0.351,1.01,-0.477,-0.662,-0.54
"SUV39H1",0.199,-0.886,0.0196,0.214,0.241,0.186
"SUV39H2",-0.18,-0.974,-0.286,0.308,0.188,0.1
"SVBP",1.84,-0.669,-0.592,0.521,0.234,0.239
"SVIL",-1.06,-0.7,-0.771,0.585,0.558,0.834
"SVIP",1.07,-0.279,0.0164,0.348,0.332,0.721
"SYAP1",1.18,0.116,0.32,-0.234,-0.0644,0.0306
"SYDE1",-2.22,-0.101,1.92,0.0675,0.0108,0.357
"SYF2",0.484,-0.803,-0.581,0.54,0.417,0.816
"SYK",-3.18,0.209,1.49,0.353,0.359,0.201
"SYMPK",-1.08,-0.689,-0.407,0.529,0.605,0.123
"SYNGR1",0.89,0.282,0.839,-0.164,-0.0206,-0.482
"SYNGR2",0.77,0.347,0.752,-0.333,-0.137,-0.591
"SYNJ1",-0.918,-0.454,-0.781,0.905,0.451,0.703
"SYNJ2",0.854,-0.431,-0.91,0.168,0.0803,0.401
"SYPL2",-3.68,0.248,1.12,0.531,0.29,0.442
"SYT1",1.02,0.384,1.03,-0.591,-0.432,-0.567
"SYT11",-0.395,2.2,3.43,-1.42,-1.08,-0.504
"SZRD1",0.461,-1.42,-1.4,0.822,0.725,1.27
"TAB2",0.121,-0.377,-0.533,0.391,0.424,0.876
"TAB3",-0.205,-0.423,-0.522,0.558,0.394,0.855
"TACC1",0.54,-0.309,-0.654,0.265,-0.0204,0.254
"TACC2",0.415,-1.11,-0.865,0.322,0.237,0.945
"TACC3",1.16,-0.0627,-0.226,-0.0365,-0.0295,0.176
"TADA3",1,-0.984,-0.115,0.376,0.184,0.41
"TAF10",0.607,-0.966,-0.595,0.882,0.349,0.982
"TAF11",0.928,-0.362,0.0411,0.329,0.0662,-0.32
"TAF12",0.535,-0.467,-0.0793,0.0672,0.0311,0.488
"TAF15",1.14,-0.124,0.14,0.237,-0.6,-0.418
"TAF1A",-1.65,-0.417,0.608,0.402,0.348,0.186
"TAF1B",-0.507,-0.128,0.581,0.17,0.149,0.00149
"TAF1D",0.518,-0.712,-0.101,0.371,0.183,0.489
"TAF3",0.541,-0.697,0.474,-0.0438,-0.0607,0.0487
"TAF5L",-1.23,-0.225,0.0252,0.214,0.227,-0.0232
"TAF6",-0.776,-0.49,-0.0735,0.451,0.379,0.0887
"TAF7",0.747,-0.504,-0.271,0.346,0.259,0.482
"TAF8",0.175,-0.684,-0.561,0.536,0.27,0.587
"TAF9B",0.577,-0.82,-0.255,0.586,0.223,0.686
"TAGLN3",1.19,0.183,-0.649,0.198,0.26,0.805
"TALDO1",0.825,0.197,-0.183,-0.402,-0.353,-0.229
"TANC2",-0.759,-0.771,-0.768,0.373,0.64,0.793
"TANK",-1.94,-2.36,-2.3,1.33,1.02,1.29
"TAOK2",1.09,0.313,0.9,-0.175,-0.306,-0.263
"TAOK3",0.999,0.0772,0.613,-0.574,-0.278,-0.24
"TAP1",-4.28,0.99,1.3,0.19,1.44,1.46
"TAPT1",-2.21,-0.324,0.00366,0.458,0.703,0.43
"TARBP2",1.23,0.109,0.287,-0.277,-0.258,-0.319
"TARS2",-0.822,-0.0128,-0.126,0.369,0.338,0.0831
"TASOR",-1.07,-0.676,-0.495,0.51,0.555,0.165
"TASOR2",-0.757,-0.794,-0.539,0.412,0.508,0.2
"TATDN1",2.58,0.0627,0.71,-0.553,-0.594,-0.213
"TATDN2",-0.817,-0.603,-0.875,0.733,0.69,0.724
"TATDN3",2.02,-0.568,0.0484,0.093,-0.128,0.277
"TAX1BP3",1.27,-0.027,0.215,-0.218,-0.317,0.0802
"TBC1D12",-2.21,-2.39,1.33,0.812,0.826,1.14
"TBC1D15",-0.729,0.544,0.0162,-0.149,0.0248,0.0711
"TBC1D17",1.23,0.317,0.112,-0.078,-0.615,-0.225
"TBC1D20",-0.511,0.471,3.55,-2.22,-0.723,-0.473
"TBC1D22B",-1.94,-0.547,-0.168,1.05,0.557,1.18
"TBC1D5",-0.588,-0.466,-0.764,0.52,0.49,0.428
"TBCA",1.38,-0.429,-0.314,0.349,-0.0751,0.195
"TBCB",1.07,0.258,0.166,-0.211,-0.341,-0.339
"TBCC",1.03,0.407,0.395,-0.485,-0.315,-0.107
"TBCEL",0.863,0.328,0.372,-0.474,-0.5,-0.303
"TBL1X",-2.41,-0.177,-0.111,0.311,0.331,0.292
"TBL2",-0.919,-0.148,0.141,0.257,0.332,0.122
"TBL3",-1.52,-0.538,-0.366,0.555,0.456,0.199
"TBRG1",0.485,-1.02,-0.149,0.466,0.286,0.333
"TBX18",0.453,0.722,0.638,-0.769,-0.576,-1.2
"TBX2",-1.43,0.497,-2.49,0.522,0.295,0.668
"TCAF1",-0.954,0.331,0.189,-0.112,-0.00174,-0.0486
"TCEA1",1.19,-0.163,-0.0402,-0.0118,-0.212,0.444
"TCEA2",0.979,-0.555,-0.15,0.485,-0.0538,0.006
