condition,condition_label,condition_label_factor,Genetype,ExpType,Treatment,name,Genes,Protein.Group,ID,mean_log2_abundance,sd_log2_abundance,n_replicates,rank,highlight_rdh12,highlight_rdh_family
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,RBMX2,RBMX2,Q9Y388,Q9Y388,24.459840244056668,0.18100183145548465,3,2343,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,MRPS14,MRPS14,O60783,O60783,24.4597180067518,0.06067544366686722,3,2344,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,WASL,WASL,O00401,O00401,24.458239584010233,0.16700042234040122,3,2345,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,POFUT1,POFUT1,Q9H488,Q9H488,24.4565108809449,0.3058728057061384,3,2346,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,CKAP5,CKAP5,Q14008,Q14008,24.4550236927013,0.1452895149633833,3,2347,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,DYNLRB1,DYNLRB1,Q9NP97,Q9NP97,24.4538425155935,0.2739711784404581,3,2348,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,SPCS3,SPCS3,P61009,P61009,24.453811767561533,0.279456620052321,3,2349,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,PAFAH1B1,PAFAH1B1,P43034,P43034,24.451996479660735,0.12925781021472416,3,2350,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,ATP5F1D,ATP5F1D,P30049,P30049,24.450985826432035,0.36986529398423745,3,2351,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,FANCI,FANCI,Q9NVI1,Q9NVI1,24.4490784379176,0.18408576954113817,3,2352,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,ACAD9,ACAD9,Q9H845,Q9H845,24.4480030084373,0.32397771238045286,3,2353,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,KNTC1,KNTC1,P50748,P50748,24.447809742727866,0.1508034287297383,3,2354,FALSE,FALSE
