"Lipid","LipidClass","sample","Intensity","Treatment","Rep","Genotype","Treatment_raw","Genotype_raw","Experiment","Condition","Detected","log2Intensity"
"Cer(d18:1/18:0)","Cer","s8",1661.180122,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.6979927980751
"Cer(d18:1/18:0)","Cer","s9",1914.620129,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.9028424666968
"Cer(d18:0/20:0)","Cer","s1",1388.280106,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.4390829669637
"Cer(d18:0/20:0)","Cer","s2",1332.720085,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.3801580835523
"Cer(d18:0/20:0)","Cer","s3",1442.520103,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.4943757091109
"Cer(d18:0/20:0)","Cer","s4",1907.080124,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.8971497429269
"Cer(d18:0/20:0)","Cer","s5",1331.7201,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.379075174297
"Cer(d18:0/20:0)","Cer","s6",1352.600101,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.401519651263
"Cer(d18:0/20:0)","Cer","s7",1256.000088,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.2946208499722
"Cer(d18:0/20:0)","Cer","s8",1589.600117,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.6344481685496
"Cer(d18:0/20:0)","Cer","s9",1289.760098,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.3328870265801
"Cer(d14:1/24:0(2OH))","Cer","s1",1393.180092,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.4441660472974
"Cer(d14:1/24:0(2OH))","Cer","s2",1496.640099,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.5475116190759
"Cer(d14:1/24:0(2OH))","Cer","s3",1612.360107,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.6549582782569
"Cer(d14:1/24:0(2OH))","Cer","s4",2204.460159,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.1062096881603
"Cer(d14:1/24:0(2OH))","Cer","s5",1477.020107,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.5284737506238
"Cer(d14:1/24:0(2OH))","Cer","s6",1767.560127,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.7875435766129
"Cer(d14:1/24:0(2OH))","Cer","s7",1653.42012,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.6912376324206
"Cer(d14:1/24:0(2OH))","Cer","s8",2113.120159,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.0451590906783
