name,ID,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.val,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.val,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_significant,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_significant,significant,RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio,RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio,GFP_100_atRAL5hr.24h_recvr_centered,GFP_200_atRAL5hr.24h_recvr_centered,GFP_control_atRAL5hr.24h_recvr_centered,RDH12_100_atRAL5hr_centered,RDH12_100_atRAL5hr.24h_recvr_centered,RDH12_200_atRAL5hr_centered,RDH12_200_atRAL5hr.24h_recvr_centered,RDH12_control_atRAL5hr_centered,RDH12_control_atRAL5hr.24h_recvr_centered
FMN2,Q9NZ56,0.0018041254492048718,0.13637764015963094,0.053893149233161596,0.501,0.799,1,FALSE,FALSE,FALSE,FALSE,-1.57,0.678,-0.896,-0.221,-0.941,0.397,-0.912,0.39,-0.234,0.673,0.662,0.186
FMNL2,Q96PY5,0.30493201783653046,0.9249812991364915,0.2644223088083506,0.63,0.917,1,FALSE,FALSE,FALSE,FALSE,1.21,0.109,1.32,0.385,1.09,0.852,-0.705,1.01,-0.595,-0.707,-1.91,0.581
FMR1,Q06787,0.2532251958823023,0.5663344471355721,0.09385351016287952,0.62,0.893,1,FALSE,FALSE,FALSE,FALSE,-0.151,-0.0748,-0.226,0.0765,0.173,0.0189,-0.0247,-0.162,-0.0996,-0.0978,0.126,-0.0108
FN1,P02751,0.46749854101841637,0.6304846915794757,0.8034771958486482,0.656,0.898,1,FALSE,FALSE,FALSE,FALSE,-1.12,0.741,-0.382,-4.26,1.06,-0.463,2.39,-0.533,3.13,-4.65,3.51,-0.177
FN3KRP,Q9HA64,0.34551684635244784,0.40824335565048453,0.9045669149517716,0.637,0.875,1,FALSE,FALSE,FALSE,FALSE,0.315,-0.275,0.0395,-0.357,-0.137,-0.242,0.532,0.0155,0.257,-0.109,0.217,-0.177
FNBP1,Q96RU3,1.3675197939689985e-4,0.4879024044837671,7.048365049097269e-4,0.498,0.885,1,FALSE,FALSE,FALSE,FALSE,-1.55,0.232,-1.32,-0.245,-0.853,0.477,-0.492,-0.114,-0.259,0.248,1.06,0.18
FNBP1L,Q5T0N5,2.7771901517544395e-5,0.9532435546162166,2.4309257328653724e-5,0.492,0.918,1,FALSE,FALSE,FALSE,FALSE,-1.22,-0.0134,-1.24,-0.192,-0.851,0.212,-0.127,-0.222,-0.141,0.265,1.1,-0.0406
FNBP4,Q8N3X1,2.476245035263407e-5,0.2687560924733844,3.3489043710497045e-4,0.492,0.849,1,FALSE,FALSE,FALSE,FALSE,-1.01,0.21,-0.8,-0.055,-0.198,0.112,-0.759,0.307,-0.548,0.593,0.251,0.297
FNDC10,F2Z333,0.008380869521796822,0.0935991336045232,0.2572504013004425,0.51,0.767,1,FALSE,FALSE,FALSE,FALSE,-1.41,0.848,-0.561,-0.705,-0.636,-0.26,-0.0489,-0.439,0.799,-0.206,1.36,0.137
FNDC3A,Q9Y2H6,0.1592515845668239,0.06281510758507071,0.6165188772873543,0.597,0.744,1,FALSE,FALSE,FALSE,FALSE,0.192,-0.258,-0.0667,-0.0329,0.157,-0.152,0.163,-0.0128,-0.0954,-0.0784,-0.0287,0.0801
FNDC3B,Q53EP0,0.30076764596935945,9.661598998007629e-4,0.010918123267356814,0.629,0.632,1,FALSE,FALSE,FALSE,FALSE,0.412,-1.5,-1.09,0.276,0.598,0.13,0.16,0.00149,-1.34,0.182,-0.252,0.246
FNTA,P49354,0.004154565502936905,0.3781997690246719,5.166151058614392e-4,0.502,0.871,1,FALSE,FALSE,FALSE,FALSE,-0.671,-0.187,-0.857,-0.214,-0.358,0.098,-0.214,0.199,-0.401,0.248,0.456,0.185
FNTB,P49356,0.06163263624016335,0.6101876654005702,0.021372110870412412,0.558,0.897,1,FALSE,FALSE,FALSE,FALSE,-0.744,-0.194,-0.938,-0.604,-0.342,0.0129,0.228,0.0673,0.0337,-0.394,0.972,0.0268
FOCAD,Q5VW36,0.0011008079534790905,0.5257928397363786,0.00486809818752335,0.501,0.889,1,FALSE,FALSE,FALSE,FALSE,0.922,-0.156,0.766,0.498,0.36,0.195,-0.38,0.414,-0.536,0.365,-1.3,0.387
FOS,P01100,0.4897685237549576,5.548376939427309e-5,2.801594002248783e-4,0.658,0.481,1,FALSE,FALSE,FALSE,FALSE,-0.787,5.71,4.92,-1.79,3.54,-1.51,-0.981,-1.02,4.73,-1.88,-0.194,-0.886
FOSB,P53539,0.334462336870062,0.051120715868363295,0.2901020250335874,0.635,0.737,1,FALSE,FALSE,FALSE,FALSE,-1.54,3.23,1.69,-1.62,-0.331,-0.628,0.116,-0.996,3.35,-0.472,1.66,-1.08
FOXA1,P55317,1.5710876898686845e-4,0.18736776722539794,0.003715748463037552,0.498,0.824,1,FALSE,FALSE,FALSE,FALSE,-0.889,0.261,-0.628,-0.146,0.29,-0.0176,-0.436,-0.0154,-0.175,0.232,0.453,-0.185
FOXB1,Q99853,0.07196397962723637,0.24199217649501253,0.005605517682920567,0.564,0.842,1,FALSE,FALSE,FALSE,FALSE,0.819,0.519,1.34,0.157,0.512,0.337,-0.654,0.375,-0.135,0.307,-1.47,0.575
FOXC1,Q12948,0.11452266348043189,0.10167837718081581,0.9483967026074879,0.582,0.774,1,FALSE,FALSE,FALSE,FALSE,-0.549,0.571,0.0218,0.0167,-0.098,0.159,-0.515,-0.0437,0.0559,0.276,0.0341,0.115
FOXD2,O60548,0.15499495877359953,0.7307461468903245,0.08272921323860227,0.596,0.906,1,FALSE,FALSE,FALSE,FALSE,1.14,0.27,1.41,0.728,-0.282,0.714,0.419,-0.395,0.689,-0.0701,-0.724,-1.08
FOXD3,Q9UJU5,0.3982751582930504,0.2652189381384026,0.7799349656191819,0.646,0.848,1,FALSE,FALSE,FALSE,FALSE,0.623,-0.827,-0.204,0.719,-0.676,0.205,1.3,-1.78,0.469,-0.237,0.673,-0.672
FOXF1,Q12946,0.2595711569000444,0.031254598124332754,0.2607422249996171,0.621,0.72,1,FALSE,FALSE,FALSE,FALSE,-0.307,0.612,0.306,0.177,0.605,0.329,-0.855,0.0853,-0.243,0.268,-0.549,0.183
FOXF2,Q12947,0.6077925126720313,0.795715176852351,0.4423632498526784,0.672,0.91,1,FALSE,FALSE,FALSE,FALSE,-0.165,-0.0833,-0.249,-0.22,0.133,0.251,-0.157,-0.154,-0.24,0.232,0.00857,0.146
FOXG1,P55316,0.008736936842093425,0.726022602717784,0.003918070239465229,0.511,0.905,1,FALSE,FALSE,FALSE,FALSE,2.78,0.339,3.12,-0.0824,0.368,-0.132,-0.224,0.733,0.115,1.18,-3,1.04
FOXJ2,Q9P0K8,0.019867053141081233,0.3697217033463721,0.12201583239562862,0.525,0.869,1,FALSE,FALSE,FALSE,FALSE,-0.776,0.281,-0.495,-0.24,-0.56,0.273,-0.335,0.00777,-0.053900000000000003,0.353,0.441,0.114
FOXJ3,Q9UPW0,3.413625375275432e-4,0.15527479860608748,0.010164199973331125,0.499,0.81,1,FALSE,FALSE,FALSE,FALSE,-1.06,0.363,-0.698,-0.263,-0.283,0.0727,-0.457,0.02,-0.0933,0.431,0.605,-0.0325
FOXK1,P85037,0.23867747925555408,0.9510977651865115,0.2163577804265793,0.617,0.918,1,FALSE,FALSE,FALSE,FALSE,0.185,0.00944,0.194,0.0984,0.335,0.084,-0.0753,-0.0347,-0.0659,0.0163,-0.26,-0.0978
FOXK2,Q01167,0.01798254821785111,0.04484997916783768,0.6659718427029322,0.523,0.733,1,FALSE,FALSE,FALSE,FALSE,-0.335,0.278,-0.0569,-0.0733,0.13,-0.0641,-0.115,-0.103,0.163,-0.0656,0.22,-0.094
FOXM1,Q08050,0.07424984390359052,0.017694677420790162,0.49038251333729155,0.565,0.696,1,FALSE,FALSE,FALSE,FALSE,-1.64,2.25,0.61,0.656,-0.0395,1.14,-2.2,0.893,0.0436,-0.702,-0.566,0.781
FOXN3,O00409,0.0019109520078834077,0.0323577786913956,0.21687447303992832,0.501,0.721,1,FALSE,FALSE,FALSE,FALSE,-2.57,1.65,-0.916,-0.763,-0.186,0.348,-1.4,0.326,0.257,-0.0388,1.17,0.28
FOXO1,Q12778,0.0034531599554544425,0.9343647289391572,0.002852129443541934,0.502,0.917,1,FALSE,FALSE,FALSE,FALSE,-0.854,-0.0215,-0.876,-0.0562,-0.844,0.337,-0.112,-0.23,-0.133,0.484,0.743,-0.189
FOXO3,O43524,0.016647842539144683,0.3062030757183402,0.001556063076257693,0.521,0.858,1,FALSE,FALSE,FALSE,FALSE,-0.829,-0.333,-1.16,-0.061,-1.19,0.395,-0.0427,0.00441,-0.375,0.61,0.786,-0.123
FOXP1,Q9H334,0.0016869173691213164,0.2948916826942507,0.018961582858933006,0.501,0.855,1,FALSE,FALSE,FALSE,FALSE,-0.612,0.181,-0.43,-0.138,-0.278,0.101,-0.189,-0.0805,-0.00792,0.264,0.423,-0.0939
FOXP2,O15409,2.95895524597279e-4,0.044067961635544335,0.037510886361195275,0.499,0.732,1,FALSE,FALSE,FALSE,FALSE,3.17,-1.56,1.61,0.853,0.844,1.07,-0.176,0.751,-1.73,0.986,-3.34,0.742
FOXP4,Q8IVH2,0.25883038584738777,0.2992774749386482,0.037612605048939075,0.621,0.856,1,FALSE,FALSE,FALSE,FALSE,0.201,0.184,0.385,0.189,0.0419,0.34,-0.292,0.00354,-0.108,0.131,-0.492,0.186
FOXRED1,Q96CU9,0.17112539881030525,0.1405532271671602,0.9095169083634831,0.601,0.802,1,FALSE,FALSE,FALSE,FALSE,1.14,-1.23,-0.0926,0.0962,0.565,-0.295,-0.0374,0.761,-1.27,0.537,-1.18,0.825
FOXRED2,Q8IWF2,0.3601863284255845,0.7787898150154866,0.23625491813504232,0.64,0.909,1,FALSE,FALSE,FALSE,FALSE,-0.188,-0.057,-0.244,-0.045,-0.0866,-0.0207,0.0958,-0.189,0.0388,0.00119,0.283,-0.0778
FPGS,Q05932,0.13060622558626964,0.2332204406589498,0.7319075033308773,0.587,0.84,1,FALSE,FALSE,FALSE,FALSE,2.36,-1.84,0.521,0.28,-1.89,-0.00481,1.39,-1.23,-0.454,3.22,-0.975,-0.337
FPGT,O14772,6.410369568290111e-4,0.39546478865435686,0.004761468092796322,0.5,0.873,1,FALSE,FALSE,FALSE,FALSE,3.45,-0.741,2.71,0.915,0.458,0.997,0.651,0.751,-0.0899,-0.2,-2.8,-0.681
FRA10AC1,Q70Z53,5.462947910811375e-4,0.12605526661454217,0.02047935973822346,0.5,0.793,1,FALSE,FALSE,FALSE,FALSE,-1.32,0.513,-0.81,-0.256,-0.0249,0.0185,-0.369,-0.287,0.144,0.0996,0.954,-0.28
FRAS1,Q86XX4,0.2530019798731337,0.15170346865271972,0.7570230550283288,0.62,0.808,1,FALSE,FALSE,FALSE,FALSE,-0.255,0.323,0.0679,-0.582,-0.927,-0.332,0.652,-0.346,0.974,-0.367,0.907,0.0206
FRAT2,O75474,0.01632158883422723,0.9449356532164163,0.014021167293085184,0.52,0.918,1,FALSE,FALSE,FALSE,FALSE,-1.39,-0.0369,-1.42,-0.458,-0.867,0.669,-0.636,0.195,-0.673,0.822,0.749,0.198
FREM2,Q5SZK8,0.0017206950045039202,0.37379381611436324,0.013484650919700619,0.501,0.87,1,FALSE,FALSE,FALSE,FALSE,1.1,-0.276,0.822,-0.265,-0.123,-0.19,0.784,-0.11,0.508,-0.267,-0.314,-0.023
FRG1,Q14331,2.5644870699160756e-4,0.0065194422241005275,0.17646796971407802,0.499,0.671,1,FALSE,FALSE,FALSE,FALSE,-0.97,0.664,-0.306,-0.0148,0.399,-0.0329,-0.736,0.0322,-0.0725,0.124,0.234,0.068
FRMD4A,Q9P2Q2,0.733093181812368,0.2897220221493865,0.4667935380561622,0.684,0.854,1,FALSE,FALSE,FALSE,FALSE,-0.256,0.804,0.548,-0.718,-0.142,0.436,-1.02,1.15,-0.217,1.29,-0.765,-0.00906
FRMD6,Q96NE9,0.6203440418992372,0.9540433989703196,0.6612303861645641,0.673,0.918,1,FALSE,FALSE,FALSE,FALSE,-0.29,0.0336,-0.256,0.194,0.154,0.0948,-0.576,0.429,-0.543,0.348,-0.286,0.186
FRMD8,Q9BZ67,3.053393576908509e-7,0.4378150404747396,6.660885676199786e-8,0.425,0.879,1,FALSE,FALSE,FALSE,FALSE,3.53,0.371,3.91,0.268,-0.334,0.509,0.736,0.449,1.11,0.345,-2.8,-0.281
FRRS1,Q6ZNA5,0.18758783595271497,0.47992249400146236,0.5263804033891829,0.605,0.884,1,FALSE,FALSE,FALSE,FALSE,-1.96,1.03,-0.926,-0.299,-0.0412,0.44,0.213,-2.25,1.25,-1.93,2.17,0.448
FRS2,Q8WU20,0.07574307609350327,0.1183074622430957,0.8117637308600337,0.566,0.787,1,FALSE,FALSE,FALSE,FALSE,-1.55,1.35,-0.199,-0.576,0.253,-0.196,-0.233,-0.641,1.11,-0.488,1.31,-0.549
FRYL,O94915,2.1028087144574923e-6,0.04151068317249382,2.951224156707132e-8,0.471,0.73,1,FALSE,FALSE,FALSE,FALSE,-2.37,-0.782,-3.15,-0.0722,0.0142,-0.0941,-0.305,-0.636,-1.09,-0.274,2.06,0.391
FSCN1,Q16658,0.31100645576546226,0.29354851978314034,0.04696770598945429,0.631,0.855,1,FALSE,FALSE,FALSE,FALSE,-0.175,-0.182,-0.357,0.146,-0.0576,0.104,-0.00453,-0.0743,-0.186,-0.118,0.171,0.0208
FSD1,Q9BTV5,0.6928432259763126,0.0058859931861573525,0.002357153971137826,0.68,0.669,1,FALSE,FALSE,FALSE,FALSE,-0.053,-0.408,-0.461,0.106,-0.179,0.0842,0.287,-0.213,-0.121,-0.16,0.34,-0.142
FSTL1,Q12841,0.01713340337461176,0.07185997693740569,0.49170138272797226,0.522,0.749,1,FALSE,FALSE,FALSE,FALSE,-1.23,0.897,-0.331,-0.782,-1,-0.121,-0.118,-0.268,0.78,-0.0265,1.11,0.425
FTH1,P02794,0.052352710933731866,0.21847022571814365,0.4370135969060469,0.552,0.835,1,FALSE,FALSE,FALSE,FALSE,-0.738,0.455,-0.284,0.155,-0.732,0.33,-0.241,-0.524,0.213,0.265,0.497,0.0376
FTL,P02792,1.7605278037507953e-4,0.004084836517475974,0.18978516739837895,0.498,0.663,1,FALSE,FALSE,FALSE,FALSE,-1.84,1.3,-0.542,0.00579,-0.505,0.291,-0.59,-0.743,0.706,0.391,1.25,-0.804
FTO,Q9C0B1,1.6632313891996162e-5,0.4388173951118647,9.925725999603162e-5,0.49,0.879,1,FALSE,FALSE,FALSE,FALSE,-2.48,0.348,-2.14,-0.695,-0.455,-0.0421,-0.155,-0.418,0.193,-0.334,2.33,-0.423
FTSJ1,Q9UET6,0.2923815506494365,0.07564765236119822,0.4370812898267791,0.627,0.751,1,FALSE,FALSE,FALSE,FALSE,0.25,-0.433,-0.183,-0.274,-0.422,-0.224,0.526,-0.00986,0.093,0.0596,0.276,-0.0241
FTSJ3,Q8IY81,0.0277306314226682,0.0017862788597661139,0.23290510745359966,0.533,0.643,1,FALSE,FALSE,FALSE,FALSE,-0.505,0.767,0.262,-0.127,0.487,0.0341,-0.607,0.0647,0.161,0.075,-0.101,0.0134
FUBP1,Q96AE4,0.02436833465511238,0.6562777726502476,0.06112119748230304,0.53,0.9,1,FALSE,FALSE,FALSE,FALSE,-1.4,0.26,-1.14,-0.658,-0.28,-0.219,0.0964,-0.727,0.357,-0.176,1.5,0.106
FUBP3,Q96I24,0.003271891501294074,0.055551057609993175,0.20540297322441292,0.502,0.739,1,FALSE,FALSE,FALSE,FALSE,-0.433,0.263,-0.169,-0.173,0.134,-0.116,-0.353,0.15,-0.0899,0.115,0.0796,0.253
FUCA1,P04066,0.027361785933075956,0.004834936524744207,0.43880226051142557,0.532,0.666,1,FALSE,FALSE,FALSE,FALSE,-0.925,1.23,0.307,-0.331,0.584,-0.32,-0.998,0.344,0.235,0.183,-0.0722,0.375
FUCA2,Q9BTY2,0.7353602275785972,0.4298104778292321,0.26432748937591244,0.684,0.878,1,FALSE,FALSE,FALSE,FALSE,0.0521,0.123,0.175,-0.193,0.287,-0.323,0.00772,0.043,0.13,0.037,-0.0444,0.0546
FUNDC1,Q8IVP5,0.49772269881135334,0.639983398753189,0.8313653112050783,0.659,0.899,1,FALSE,FALSE,FALSE,FALSE,0.707,-0.486,0.221,-0.763,-1.48,0.299,1.69,-0.795,1.2,-0.713,0.981,-0.416
FUNDC2,Q9BWH2,0.39153274807115834,0.31379004602305693,0.0707926027465493,0.645,0.859,1,FALSE,FALSE,FALSE,FALSE,0.141,0.167,0.308,-0.119,-0.0896,-0.088,0.152,0.028,0.319,-0.0208,0.0103,-0.191
FUOM,A2VDF0,2.314071900660624e-4,0.08648703428249457,0.014407167114318725,0.499,0.762,1,FALSE,FALSE,FALSE,FALSE,-2.43,0.975,-1.45,0.0798,-1.47,0.346,-0.954,0.0847,0.0215,0.0146,1.47,0.402
FURIN,P09958,0.8227395187601146,0.6786850879205241,0.5247697174291359,0.692,0.902,1,FALSE,FALSE,FALSE,FALSE,0.231,0.428,0.659,-0.598,-3.86,0.382,1.2,1.54,1.63,-1.08,0.968,-0.184
FUS,P35637,7.306041321474434e-4,0.6531418648207128,0.0021056019673577828,0.5,0.9,1,FALSE,FALSE,FALSE,FALSE,-1.08,0.123,-0.955,-0.557,0.179,-0.249,0.111,-0.433,0.234,-0.417,1.19,-0.0585
FUT11,Q495W5,0.47780367184775185,0.6196413365518856,0.8286690529551661,0.657,0.897,1,FALSE,FALSE,FALSE,FALSE,-0.238,0.166,-0.072,-0.25,-0.338,0.0314,-0.204,0.0446,-0.0383,0.487,0.0337,0.235
FUT8,Q9BYC5,0.11396752526618917,0.7341917931544067,0.20542539937506277,0.582,0.906,1,FALSE,FALSE,FALSE,FALSE,1.75,-0.365,1.39,-3.28,0.947,-0.602,1.71,0.489,1.34,-1.2,-0.0458,0.643
FXN,Q16595,0.011176864676757818,0.0019212959209995116,0.4464992336481657,0.515,0.645,1,FALSE,FALSE,FALSE,FALSE,-0.709,0.906,0.197,0.126,0.384,-0.124,-1.24,0.715,-0.337,0.455,-0.533,0.557
FXR1,P51114,0.9183297917251332,0.7953674993475153,0.8752679636686321,0.7,0.91,1,FALSE,FALSE,FALSE,FALSE,0.0162,-0.041,-0.0248,0.0715,0.319,0.0299,-0.133,-0.0251,-0.174,0.0813,-0.15,-0.0191
FXR2,P51116,0.48580221898051834,0.8864138069425551,0.40278421033589107,0.658,0.915,1,FALSE,FALSE,FALSE,FALSE,0.1,0.0205,0.121,0.0977,0.381,0.0517,-0.0773,-0.111,-0.0569,0.0216,-0.178,-0.129
FYCO1,Q9BQS8,0.08110018415681261,0.08576377987107962,0.9765767625678594,0.569,0.761,1,FALSE,FALSE,FALSE,FALSE,0.432,-0.425,0.00699,-0.0501,-0.325,0.125,0.624,-0.238,0.2,-0.14,0.193,-0.389
FYN,P06241,0.002005152592638751,0.21040588992162912,0.03511851645073641,0.502,0.833,1,FALSE,FALSE,FALSE,FALSE,1.19,-0.432,0.755,-0.104,0.206,-0.12,0.642,-0.0503,0.21,-0.085,-0.546,-0.152
FYTTD1,Q96QD9,0.002247685116526051,0.01203530259436431,0.4665656067559465,0.502,0.682,1,FALSE,FALSE,FALSE,FALSE,-0.765,0.603,-0.162,-0.048,0.734,-0.17,-0.955,0.356,-0.352,0.153,-0.19,0.472
FZD6,O60353,5.75964498511137e-4,0.6190827899836228,1.7832482151658154e-4,0.5,0.897,1,FALSE,FALSE,FALSE,FALSE,3.43,0.423,3.85,0.57,-0.045,0.221,0.702,0.48,1.13,-1.02,-2.73,0.698
FZD7,O75084,0.04994404182595965,0.1195972848999692,0.6497004175456866,0.55,0.788,1,FALSE,FALSE,FALSE,FALSE,2.59,-2.02,0.573,-2.09,-0.634,-1.84,4.05,-1.67,2.03,-0.39,1.46,-0.921
FZD8,Q9H461,0.7392961887668054,0.32308734362632074,0.5069046518745093,0.685,0.861,1,FALSE,FALSE,FALSE,FALSE,0.226,-0.68,-0.453,-0.261,-0.264,0.277,0.774,0.189,0.0943,-1,0.548,-0.354
G3BP1,Q13283,0.010352779893430126,0.40634187327097526,0.0015019865474338553,0.514,0.875,1,FALSE,FALSE,FALSE,FALSE,-0.55,-0.165,-0.715,-0.131,-0.439,0.103,-0.0501,-0.117,-0.215,0.175,0.5,0.174
G3BP2,Q9UN86,0.006435303568185586,0.291979145379493,5.311755859560954e-4,0.507,0.855,1,FALSE,FALSE,FALSE,FALSE,-0.375,-0.133,-0.509,-0.0266,-0.437,0.1,0.21,-0.334,0.0766,0.0857,0.585,-0.26
G6PC3,Q9BUM1,0.05988283249618015,0.05258924511337451,0.9480470212099262,0.557,0.738,1,FALSE,FALSE,FALSE,FALSE,3.03,-3.13,-0.1,0.854,0.586,0.599,0.581,1.1,-2.55,0.136,-2.45,1.13
G6PD,P11413,0.04729220910875247,0.007982589916202246,0.4139161152320592,0.548,0.673,1,FALSE,FALSE,FALSE,FALSE,0.528,-0.736,-0.208,0.0304,-0.298,-0.0679,0.735,-0.201,-0.00141,-0.209,0.207,-0.195
GAA,P10253,1.0942272303240032e-4,0.006489528871379351,0.09239429302008202,0.497,0.67,1,FALSE,FALSE,FALSE,FALSE,-2.46,1.56,-0.905,-1.25,-0.653,-0.558,-0.389,-0.154,1.17,-0.197,2.07,-0.0451
GAB1,Q13480,0.08788650055698015,0.7553446426682389,0.0476716889344278,0.572,0.907,1,FALSE,FALSE,FALSE,FALSE,-0.349,-0.0614,-0.41,0.341,-0.581,0.379,-0.27,0.00419,-0.332,0.274,0.0785,0.105
GABARAP,O95166,0.38583231962047937,0.37183379323432153,0.0870350356696123,0.644,0.87,1,FALSE,FALSE,FALSE,FALSE,-0.252,-0.259,-0.511,-0.361,-0.41,-0.387,0.691,-0.428,0.432,-0.318,0.942,-0.161
GABARAPL1,Q9H0R8,0.19367202414769616,0.46762342387726197,0.5521068490688519,0.607,0.883,1,FALSE,FALSE,FALSE,FALSE,-0.789,0.434,-0.355,-0.335,-2.08,-0.205,0.406,-0.128,0.84,0.269,1.2,0.036
GABARAPL2,P60520,0.015413994887041309,0.5355828261126989,0.0037694642683696556,0.519,0.89,1,FALSE,FALSE,FALSE,FALSE,-0.534,-0.127,-0.661,-0.377,-1.07,-0.16,0.734,-0.427,0.607,0.0743,1.27,-0.646
GABPA,Q06546,0.08518760397475215,0.5107569437103117,0.2669664161058231,0.57,0.887,1,FALSE,FALSE,FALSE,FALSE,-0.285,0.105,-0.179,0.0718,0.0198,0.365,-0.151,-0.211,-0.0461,-0.0733,0.133,-0.108
GADD45GIP1,Q8TAE8,0.0014222761610256634,0.024201258168210137,0.22083543289694835,0.501,0.71,1,FALSE,FALSE,FALSE,FALSE,-1.64,1.08,-0.558,-0.963,-1.01,-0.311,-0.658,0.333,0.419,0.679,0.977,0.537
GAK,O14976,0.10571847927399465,0.12291771958187095,0.9341008252895373,0.579,0.79,1,FALSE,FALSE,FALSE,FALSE,2.11,-2.01,0.104,0.384,0.336,0.454,0.484,0.43,-1.53,0.64,-1.63,0.427
GALE,Q14376,0.08178037000212768,0.07807893359815549,0.9806999829113974,0.569,0.754,1,FALSE,FALSE,FALSE,FALSE,0.492,-0.498,-0.00657,0.429,-0.102,0.325,0.0017,0.17,-0.497,0.0892,-0.49,0.0742
GALK1,P51570,0.0183282499071405,0.7378274462232948,0.03737520737509856,0.523,0.906,1,FALSE,FALSE,FALSE,FALSE,3.73,-0.492,3.23,0.699,0.562,0.473,0.427,0.458,-0.0645,0.331,-3.3,0.413
GALM,Q96C23,8.02963015087884e-5,0.4834795650781337,4.180977149241382e-4,0.496,0.884,1,FALSE,FALSE,FALSE,FALSE,-2.4,0.347,-2.06,-0.643,-0.985,-0.0843,-0.0138,-0.342,0.333,-0.264,2.39,-0.391
GALNS,P34059,6.971770215132628e-5,0.0028491895438850457,0.12467117097122658,0.496,0.656,1,FALSE,FALSE,FALSE,FALSE,-2.31,1.57,-0.738,-1.01,-0.759,-0.567,-0.157,-0.37,1.41,-0.411,2.15,-0.286
GALNT1,Q10472,1.2050676639040935e-4,0.415076685080803,8.3087128746206e-4,0.497,0.876,1,FALSE,FALSE,FALSE,FALSE,1.02,-0.179,0.846,-0.21,0.00778,-0.471,0.813,-0.256,0.634,-0.196,-0.211,-0.111
GALNT10,Q86SR1,0.27409123614625003,0.34539009779942265,0.8758532886491279,0.624,0.865,1,FALSE,FALSE,FALSE,FALSE,1.5,-1.28,0.21,-2.04,4.08,-1.15,0.184,2.98,-1.1,-0.62,-1.31,-1.02
GALNT11,Q8NCW6,0.9803099769038826,0.9120439856121445,0.8925116467945722,0.704,0.916,1,FALSE,FALSE,FALSE,FALSE,0.0223,0.0998,0.122,-0.332,-1.51,0.399,0.438,-1.1,0.538,0.494,0.416,0.658
GALNT13,Q8IUC8,0.882214133379981,0.5765399114659184,0.6806364667066286,0.697,0.894,1,FALSE,FALSE,FALSE,FALSE,-0.11,0.418,0.307,-0.898,-0.91,-0.187,0.783,-0.328,1.2,-0.713,0.894,0.158
GALNT16,Q8N428,0.005018777239798049,0.9119575409024664,0.0064636773634549494,0.504,0.916,1,FALSE,FALSE,FALSE,FALSE,3.28,-0.116,3.16,-0.311,0.762,0.0167,0.624,0.388,0.508,0.0625,-2.65,0.602
GALNT2,Q10471,0.14052034418782097,0.6867303465194156,0.06616784042125766,0.591,0.903,1,FALSE,FALSE,FALSE,FALSE,0.273,0.0729,0.346,-0.432,0.33,-0.366,0.428,-0.256,0.501,-0.279,0.155,-0.0798
GALNT4,Q8N4A0,0.542158490174896,0.19222843366447506,0.4740443518607512,0.665,0.826,1,FALSE,FALSE,FALSE,FALSE,0.483,-1.05,-0.568,-0.633,0.778,-0.478,1.17,-0.998,0.116,-0.00424,0.684,-0.632
GALNT6,Q8NCL4,0.953682677764039,0.8303646070511665,0.8758545744739581,0.702,0.912,1,FALSE,FALSE,FALSE,FALSE,0.0125,-0.0463,-0.0337,-0.206,0.189,-0.159,0.0797,0.164,0.0334,-0.418,0.0672,0.249
GALNT7,Q86SF2,2.496768751492251e-4,0.9284413689082249,3.083422467552612e-4,0.499,0.917,1,FALSE,FALSE,FALSE,FALSE,0.902,-0.0184,0.883,-0.354,0.39,-0.114,0.406,-0.0804,0.388,-0.253,-0.495,0.113
GALT,P07902,0.3992658470247241,0.3029057771272923,0.06948881218336864,0.646,0.857,1,FALSE,FALSE,FALSE,FALSE,-1.02,-1.25,-2.27,-1.05,0.314,-0.779,0.0752,0.553,-1.17,0.49,1.09,0.476
GAMT,Q14353,0.19949783926968417,0.08012975309504172,0.6107629324043449,0.608,0.756,1,FALSE,FALSE,FALSE,FALSE,0.267,-0.372,-0.104,-0.0535,-0.746,0.0786,0.183,0.375,-0.188,0.208,-0.0841,0.228
GAN,Q9H2C0,0.041043247042676846,0.06753210546562019,0.8039952342620159,0.543,0.747,1,FALSE,FALSE,FALSE,FALSE,1.18,-1.04,0.136,0.41,0.222,0.374,0.0732,0.329,-0.971,0.509,-1.11,0.162
