"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"COMMD3",0.365,0.952,0.4,0.95,"0.4","0.95","NS",NA
"COMMD5",-1.15,0.932,-1.1,0.93,"-1.1","0.93","NS",NA
"COMMD6",-1.22,0.853,-1.2,0.85,"-1.2","0.85","NS",NA
"COMMD8",-0.38,0.965,-0.4,0.96,"-0.4","0.96","NS",NA
"COMMD9",-0.727,0.843,-0.7,0.84,"-0.7","0.84","NS",NA
"COPS5",-1.32,0.829,-1.3,0.83,"-1.3","0.83","NS",NA
"COQ5",4.1,5.22e-07,4.1,0,"4.1","<0.01","Up",NA
"COQ6",3.81,0.943,3.8,0.94,"3.8","0.94","NS",NA
"COQ9",0.474,0.94,0.5,0.94,"0.5","0.94","NS",NA
"COX6A1",1.58,0.918,1.6,0.92,"1.6","0.92","NS",NA
"COX7A2L",-0.573,0.93,-0.6,0.93,"-0.6","0.93","NS",NA
"CPNE8",-1.1,0.523,-1.1,0.52,"-1.1","0.52","NS",NA
"CPT2",0.403,0.952,0.4,0.95,"0.4","0.95","NS",NA
"CRABP2",-0.928,0.954,-0.9,0.95,"-0.9","0.95","NS",NA
"CRBN",4.23,0.12,4.2,0.12,"4.2","0.12","NS",NA
"CREB1",-0.731,0.918,-0.7,0.92,"-0.7","0.92","NS",NA
"CREM",1.74,0.957,1.7,0.96,"1.7","0.96","NS",NA
"CRIM1",-3.64,0.312,-3.6,0.31,"-3.6","0.31","NS",NA
"CRK",-1.42,0.151,-1.4,0.15,"-1.4","0.15","NS",NA
"CRKL",-0.824,0.895,-0.8,0.9,"-0.8","0.90","NS",NA
"CRYGD",-1.32,0.929,-1.3,0.93,"-1.3","0.93","NS",NA
"CS",1.38,0.742,1.4,0.74,"1.4","0.74","NS",NA
"CSNK1G2",3.23,0.18,3.2,0.18,"3.2","0.18","NS",NA
"CSNK2A1",-1.64,0.305,-1.6,0.3,"-1.6","0.30","NS",NA
"CSPG4",8.87,0.0464,8.9,0.05,"8.9","0.05","Up",NA
"CSPG5",2.03,0.953,2,0.95,"2.0","0.95","NS",NA
"CSRP2",-1.42,0.926,-1.4,0.93,"-1.4","0.93","NS",NA
"CSTB",-1.4,0.856,-1.4,0.86,"-1.4","0.86","NS",NA
